"student_id","institution_name","ranking","program","gender","age","gpa","attendance_rate","province","dropout_reason","dropout_status"
1,"Punjab University",1,"BSIT","F",18,"1.70","35.82","Punjab","Academic performance issues",True
2,"Punjab University",1,"BSSE","F",20,"2.21","72.60","Punjab",NULL,False
3,"Punjab University",1,"BSSE","M",20,"2.46","93.15","Punjab",NULL,False
4,"Punjab University",1,"BBA","F",23,"1.34","64.02","Punjab","Family or personal problems",True
5,"Punjab University",1,"BSIT","F",22,"2.97","61.63","Punjab",NULL,False
6,"Punjab University",1,"BSSE","M",25,"3.20","81.70","Punjab",NULL,False
7,"Punjab University",1,"BSCS","M",18,"1.94","85.64","Punjab",NULL,False
8,"Punjab University",1,"BSSE","F",18,"1.42","32.32","Punjab","Academic performance issues",True
9,"Punjab University",1,"BBA","F",24,"2.52","36.37","Punjab","Academic performance issues",True
10,"Punjab University",1,"BSIT","M",21,"2.80","70.23","Punjab",NULL,False
11,"Punjab University",1,"BSCS","M",23,"2.15","54.54","Punjab",NULL,False
12,"Punjab University",1,"BBA","F",25,"3.76","99.42","Punjab",NULL,False
13,"Punjab University",1,"BSIT","M",19,"3.01","66.29","Punjab",NULL,False
14,"Punjab University",1,"BSIT","M",25,"2.86","69.99","Punjab",NULL,False
15,"Punjab University",1,"BSCS","F",21,"1.96","64.94","Punjab",NULL,False
16,"Punjab University",1,"BSCS","F",24,"2.12","85.31","Punjab",NULL,False
17,"Punjab University",1,"BSCS","M",19,"2.99","23.94","Punjab","Financial difficulties",True
18,"Punjab University",1,"BBA","M",22,"1.82","52.29","Punjab","Family or personal problems",True
19,"Punjab University",1,"BBA","M",22,"3.75","84.79","Punjab",NULL,False
20,"Punjab University",1,"BSSE","F",23,"3.94","73.15","Punjab",NULL,False
21,"Punjab University",1,"BSSE","M",23,"2.00","69.64","Punjab",NULL,False
22,"Punjab University",1,"BSSE","F",23,"3.14","95.56","Punjab",NULL,False
23,"Punjab University",1,"BSCS","M",20,"2.75","50.99","Punjab","Financial difficulties",True
24,"Punjab University",1,"BSCS","M",19,"2.99","83.37","Punjab",NULL,False
25,"Punjab University",1,"BSIT","M",19,"1.82","51.11","Punjab",NULL,False
26,"Punjab University",1,"BSSE","M",20,"3.52","67.16","Punjab",NULL,False
27,"Punjab University",1,"BBA","M",23,"2.96","90.22","Punjab",NULL,False
28,"Punjab University",1,"BBA","F",20,"1.66","63.02","Punjab","Academic performance issues",True
29,"Punjab University",1,"BSIT","M",20,"1.41","25.50","Punjab","Academic performance issues",True
30,"Punjab University",1,"BSSE","F",24,"1.10","36.00","Punjab","Lack of interest in program",True
31,"Punjab University",1,"BBA","M",22,"3.68","77.05","Punjab",NULL,False
32,"Punjab University",1,"BSSE","F",23,"2.63","29.84","Punjab","Family or personal problems",True
33,"Punjab University",1,"BSSE","F",25,"2.87","50.54","Punjab",NULL,False
34,"Punjab University",1,"BBA","M",19,"1.01","23.33","Punjab","Academic performance issues",True
35,"Punjab University",1,"BSCS","F",22,"3.97","62.07","Punjab",NULL,False
36,"Punjab University",1,"BSSE","F",24,"1.90","88.16","Punjab",NULL,False
37,"Punjab University",1,"BBA","M",21,"2.90","90.38","Punjab",NULL,False
38,"Punjab University",1,"BBA","F",18,"1.90","50.35","Punjab",NULL,False
39,"Punjab University",1,"BSIT","F",25,"2.39","77.12","Punjab","Financial difficulties",True
40,"Punjab University",1,"BSCS","F",22,"1.58","22.17","Punjab","Lack of interest in program",True
41,"Punjab University",1,"BSIT","M",22,"3.31","89.86","Punjab",NULL,False
42,"Punjab University",1,"BBA","M",18,"3.76","70.70","Punjab",NULL,False
43,"Punjab University",1,"BSSE","M",24,"2.72","53.99","Punjab",NULL,False
44,"Punjab University",1,"BSSE","F",22,"2.74","74.59","Punjab",NULL,False
45,"Punjab University",1,"BSSE","M",23,"2.92","56.76","Punjab",NULL,False
46,"Punjab University",1,"BSCS","F",23,"3.35","65.73","Punjab",NULL,False
47,"Punjab University",1,"BSCS","M",22,"2.27","43.67","Punjab","Lack of interest in program",True
48,"Punjab University",1,"BSSE","F",18,"2.23","82.02","Punjab",NULL,False
49,"Punjab University",1,"BSCS","F",24,"2.81","80.31","Punjab",NULL,False
50,"Punjab University",1,"BSIT","M",23,"1.83","60.47","Punjab","Lack of interest in program",True
51,"Punjab University",1,"BBA","M",23,"2.98","73.30","Punjab",NULL,False
52,"Punjab University",1,"BSSE","F",20,"1.31","24.00","Punjab","Academic performance issues",True
53,"Punjab University",1,"BSCS","M",18,"1.91","59.05","Punjab","Financial difficulties",True
54,"Punjab University",1,"BSSE","F",21,"1.86","92.56","Punjab",NULL,False
55,"Punjab University",1,"BSSE","M",19,"1.69","49.44","Punjab","Financial difficulties",True
56,"Punjab University",1,"BSCS","F",21,"3.53","89.54","Punjab",NULL,False
57,"Punjab University",1,"BSCS","F",22,"3.82","94.98","Punjab",NULL,False
58,"Punjab University",1,"BSSE","F",24,"2.71","86.67","Punjab",NULL,False
59,"Punjab University",1,"BSIT","M",23,"2.06","64.90","Punjab","Financial difficulties",True
60,"Punjab University",1,"BSSE","F",25,"1.82","46.23","Punjab","Family or personal problems",True
61,"Punjab University",1,"BSIT","M",21,"2.94","83.97","Punjab",NULL,False
62,"Punjab University",1,"BBA","F",18,"3.99","53.49","Punjab",NULL,False
63,"Punjab University",1,"BSSE","M",23,"2.75","67.18","Punjab",NULL,False
64,"Punjab University",1,"BSCS","M",20,"2.00","59.92","Punjab",NULL,False
