fact_id,student_id,institution_id,year,dropout_status,dropout_reason_id,gpa,attendance_rate,age,gender
1,1,1001,2021,1,2,1.7,35.82,18,F
2,2,1001,2020,0,,2.21,72.6,20,F
3,3,1001,2018,0,,2.46,93.15,20,M
4,4,1001,2020,1,3,1.34,64.02,23,F
5,5,1001,2021,0,,2.97,61.63,22,F
6,6,1001,2023,0,,3.2,81.7,25,M
7,7,1001,2022,0,,1.94,85.64,18,M
8,8,1001,2021,1,2,1.42,32.32,18,F
9,9,1001,2022,1,2,2.52,36.37,24,F
10,10,1001,2018,0,,2.8,70.23,21,M
11,11,1001,2020,0,,2.15,54.54,23,M
12,12,1001,2022,0,,3.76,99.42,25,F
13,13,1001,2019,0,,3.01,66.29,19,M
14,14,1001,2020,0,,2.86,69.99,25,M
15,15,1001,2019,0,,1.96,64.94,21,F
16,16,1001,2021,0,,2.12,85.31,24,F
17,17,1001,2018,1,1,2.99,23.94,19,M
18,18,1001,2021,1,3,1.82,52.29,22,M
19,19,1001,2023,0,,3.75,84.79,22,M
20,20,1001,2023,0,,3.94,73.15,23,F
21,21,1001,2020,0,,2,69.64,23,M
22,22,1001,2021,0,,3.14,95.56,23,F
23,23,1001,2019,1,1,2.75,50.99,20,M
24,24,1001,2021,0,,2.99,83.37,19,M
25,25,1001,2020,0,,1.82,51.11,19,M
26,26,1001,2021,0,,3.52,67.16,20,M
27,27,1001,2019,0,,2.96,90.22,23,M
28,28,1001,2020,1,2,1.66,63.02,20,F
29,29,1001,2018,1,2,1.41,25.5,20,M
30,30,1001,2018,1,4,1.1,36,24,F
31,31,1001,2023,0,,3.68,77.05,22,M
32,32,1001,2019,1,3,2.63,29.84,23,F
33,33,1001,2020,0,,2.87,50.54,25,F
34,34,1001,2022,1,2,1.01,23.33,19,M
35,35,1001,2022,0,,3.97,62.07,22,F
36,36,1001,2023,0,,1.9,88.16,24,F
37,37,1001,2022,0,,2.9,90.38,21,M
38,38,1001,2018,0,,1.9,50.35,18,F
39,39,1001,2023,1,1,2.39,77.12,25,F
40,40,1001,2018,1,4,1.58,22.17,22,F
41,41,1001,2020,0,,3.31,89.86,22,M
42,42,1001,2023,0,,3.76,70.7,18,M
43,43,1001,2023,0,,2.72,53.99,24,M
44,44,1001,2019,0,,2.74,74.59,22,F
45,45,1001,2018,0,,2.92,56.76,23,M
46,46,1001,2023,0,,3.35,65.73,23,F
47,47,1001,2022,1,4,2.27,43.67,22,M
48,48,1001,2022,0,,2.23,82.02,18,F
49,49,1001,2018,0,,2.81,80.31,24,F
50,50,1001,2018,1,4,1.83,60.47,23,M
51,51,1001,2021,0,,2.98,73.3,23,M
52,52,1001,2019,1,2,1.31,24,20,F
53,53,1001,2018,1,1,1.91,59.05,18,M
54,54,1001,2018,0,,1.86,92.56,21,F
55,55,1001,2021,1,1,1.69,49.44,19,M
56,56,1001,2018,0,,3.53,89.54,21,F
57,57,1001,2022,0,,3.82,94.98,22,F
58,58,1001,2019,0,,2.71,86.67,24,F
59,59,1001,2021,1,1,2.06,64.9,23,M
60,60,1001,2020,1,3,1.82,46.23,25,F
61,61,1001,2018,0,,2.94,83.97,21,M
62,62,1001,2021,0,,3.99,53.49,18,F
63,63,1001,2022,0,,2.75,67.18,23,M
64,64,1001,2021,0,,2,59.92,20,M
65,65,1001,2022,1,3,1.54,78.72,25,F
66,66,1001,2021,0,,1.71,90.79,21,M
67,67,1001,2019,0,,1.9,92.26,18,M
68,68,1001,2023,0,,2.82,92.23,21,M
69,69,1001,2019,0,,2.93,76.38,18,F
70,70,1001,2021,0,,2.46,62.39,23,M
71,71,1001,2019,0,,3.51,84.53,22,M
72,72,1001,2022,0,,3.34,67.49,25,F
73,73,1001,2021,0,,2.55,96.25,18,F
74,74,1001,2020,0,,3.39,88.65,23,M
75,75,1001,2020,0,,1.62,60.77,19,M
76,76,1001,2018,1,1,2.05,20.82,24,F
77,77,1001,2018,1,4,2.76,65.96,25,F
78,78,1001,2020,0,,3.19,63.68,23,M
79,79,1001,2023,1,3,1.66,31.01,18,M
80,80,1001,2018,0,,3.26,68.37,18,F
81,81,1001,2022,1,3,2.56,47.55,25,M
82,82,1001,2018,1,3,1.02,42.47,24,M
83,83,1001,2022,0,,2.34,85.54,19,M
84,84,1001,2020,1,2,2.45,61.25,25,F
85,85,1001,2019,0,,3.68,78.26,25,M
86,86,1001,2023,0,,2.18,54.14,20,M
87,87,1001,2021,0,,3.23,91.66,21,F
88,88,1001,2023,0,,2.41,52.46,22,M
89,89,1001,2018,0,,2.83,77.29,22,M
90,90,1001,2020,0,,3.99,53.93,24,M
91,91,1001,2022,0,,1.59,86.92,21,M
92,92,1001,2021,1,3,2.66,30.61,21,F
93,93,1001,2019,0,,2.36,76.08,19,F
94,94,1001,2018,0,,3,51.26,23,M
95,95,1001,2019,0,,2.09,81.08,20,F
96,96,1001,2020,0,,3.7,74.24,18,F
97,97,1001,2019,1,3,2.85,40.74,24,M
98,98,1001,2018,1,3,1.46,48.26,25,F
99,99,1001,2019,0,,1.64,86.54,24,M
100,100,1001,2018,1,1,1.98,79,25,F
101,101,1002,2018,0,,2.02,50.48,21,F
102,102,1002,2018,0,,2.7,69.11,23,M
103,103,1002,2019,0,,2.51,53.83,20,M
104,104,1002,2018,0,,2.6,76.88,24,M
105,105,1002,2023,0,,2.28,88.03,22,M
106,106,1002,2023,0,,3.02,92.82,19,M
107,107,1002,2021,0,,1.55,75.27,19,M
108,108,1002,2019,1,2,1.25,60.37,18,M
109,109,1002,2018,0,,2.71,66.21,23,F
110,110,1002,2020,0,,2.63,55.15,22,M
111,111,1002,2021,0,,3.32,90.01,21,M
112,112,1002,2020,1,4,1.13,37.92,19,M
113,113,1002,2018,1,3,2.08,75.25,21,F
114,114,1002,2020,1,3,2.25,21.47,18,F
115,115,1002,2018,0,,2.43,94.85,20,F
116,116,1002,2020,0,,2.18,63.92,24,F
117,117,1002,2020,1,3,2.26,57.58,21,M
118,118,1002,2020,0,,3.28,53.9,25,M
119,119,1002,2018,0,,2.32,72.07,20,F
120,120,1002,2018,1,3,2.82,57.11,18,F
121,121,1002,2022,1,4,1.78,79.51,22,F
122,122,1002,2018,1,1,1.5,62.37,22,M
123,123,1002,2018,0,,1.6,65.03,24,F
124,124,1002,2018,0,,2.29,62.66,22,M
125,125,1002,2020,0,,1.86,54.06,21,F
126,126,1003,2020,0,,3.41,63.29,22,F
127,127,1003,2023,0,,3.5,72.09,23,M
128,128,1003,2021,0,,2.63,80.19,18,M
129,129,1003,2018,0,,3.41,59.32,24,F
130,130,1003,2019,0,,2.73,74.43,24,F
131,131,1003,2018,0,,1.68,87.35,24,M
132,132,1003,2018,1,3,2.61,45.75,18,F
133,133,1003,2019,0,,1.91,72.9,21,M
134,134,1003,2018,1,4,1.71,70.43,24,M
135,135,1003,2019,1,2,2.67,52.92,20,M
136,136,1003,2020,1,2,1.42,59.99,25,F
137,137,1003,2018,1,4,1.24,30.16,21,F
138,138,1003,2020,1,4,2.79,76.28,22,F
139,139,1003,2023,0,,3.01,59.77,25,F
140,140,1003,2023,0,,2.58,90.69,22,M
141,141,1003,2022,0,,3.69,66.26,25,F
142,142,1003,2019,0,,2.72,70.17,18,F
143,143,1003,2023,0,,2.68,81.85,22,M
144,144,1003,2023,0,,3.27,71.84,18,F
145,145,1003,2018,1,3,2.1,62.87,21,M
146,146,1003,2019,1,3,2.64,44.53,23,F
147,147,1003,2019,0,,3.96,59.15,21,F
148,148,1003,2019,1,4,1.51,39.6,25,F
149,149,1003,2019,0,,3.8,82.96,24,M
150,150,1003,2019,0,,2.82,67.31,23,M
151,151,1004,2018,1,1,1.64,32.05,24,F
152,152,1004,2022,1,3,2.12,32.08,20,F
153,153,1004,2018,1,4,2.31,34.73,19,M
154,154,1004,2020,0,,2.99,59.73,22,F
155,155,1004,2022,0,,1.61,61.64,22,F
156,156,1004,2020,0,,2.74,74.99,20,F
157,157,1004,2021,1,2,2.05,58.52,25,M
158,158,1004,2020,0,,2.04,57.75,22,F
159,159,1004,2023,0,,2.98,59.78,22,F
160,160,1004,2020,1,4,2.01,31.26,19,M
161,161,1004,2021,1,2,2.67,25.6,18,F
162,162,1004,2019,0,,3.72,51.14,24,F
163,163,1004,2020,0,,1.81,95.63,20,M
164,164,1004,2020,0,,1.9,54.24,19,M
165,165,1004,2019,1,3,2.52,45.64,20,M
166,166,1004,2019,0,,2.43,97.97,18,F
167,167,1004,2019,0,,2.94,75.67,19,F
168,168,1004,2020,0,,2.63,91.27,20,F
169,169,1004,2018,1,4,1.22,55.01,22,F
170,170,1004,2021,0,,2.77,84.6,18,F
171,171,1004,2022,0,,3.43,83.36,19,F
172,172,1004,2021,0,,3.47,97.14,20,M
173,173,1004,2023,1,2,1.23,35.42,20,F
174,174,1004,2018,1,1,2.55,62.46,24,M
175,175,1004,2019,1,3,2.48,44.63,22,M
176,176,1001,2018,0,,2.06,52.16,20,M
177,177,1001,2022,0,,3.4,67.6,19,F
178,178,1001,2018,1,3,2.04,31.29,22,M
179,179,1001,2021,0,,2.04,67.32,21,F
180,180,1001,2019,1,2,1.48,69.32,23,M
181,181,1001,2021,0,,2.11,85.1,23,F
182,182,1001,2019,1,4,2.96,53.14,25,M
183,183,1001,2023,1,1,1.32,75.91,25,M
184,184,1001,2023,0,,2.8,54.95,25,M
185,185,1001,2022,0,,2,96.85,21,F
186,186,1001,2018,0,,3.55,86.06,25,F
187,187,1001,2020,1,3,1.45,22.31,26,M
188,188,1001,2021,1,4,2.38,48.16,21,M
189,189,1001,2023,0,,1.86,52.17,22,M
190,190,1001,2022,1,2,1.17,45.98,23,F
191,191,1001,2019,0,,3.35,51.33,24,F
192,192,1001,2020,0,,2.07,68.39,23,F
193,193,1001,2023,0,,3.09,64.82,22,M
194,194,1001,2020,0,,2.32,56.86,25,M
195,195,1001,2019,0,,1.8,94.5,23,M
196,196,1001,2019,1,3,2.8,66.96,24,F
197,197,1001,2020,0,,3.52,79.49,23,F
198,198,1001,2023,0,,1.99,75.64,23,F
199,199,1001,2023,1,2,2.91,38.21,21,M
200,200,1001,2018,0,,3.44,74.72,22,M
201,201,1001,2021,0,,3.56,61.3,25,F
202,202,1001,2023,0,,1.53,73.57,26,M
203,203,1001,2020,0,,1.73,56.47,25,M
204,204,1001,2018,0,,2.09,93.32,22,F
205,205,1001,2020,0,,3.36,63.75,23,M
206,206,1001,2023,0,,3.45,70.73,25,F
207,207,1001,2023,1,2,2.39,40.66,26,M
208,208,1001,2018,0,,2.3,95.01,24,F
209,209,1001,2018,0,,3.6,57.04,21,M
210,210,1001,2022,1,4,2.67,78.99,21,M
211,211,1001,2021,0,,3.63,81.97,21,M
212,212,1001,2019,0,,2.91,88.48,23,M
213,213,1001,2018,0,,3.66,50.65,21,M
214,214,1001,2019,0,,3.27,80.6,21,F
215,215,1001,2021,1,2,2.89,41.37,22,M
216,216,1001,2023,1,4,2.51,24.43,26,M
217,217,1001,2020,0,,2.5,66.74,21,F
218,218,1001,2019,0,,3.34,84.48,23,M
219,219,1001,2018,1,3,2.04,71.96,24,F
220,220,1001,2022,0,,1.76,70.33,24,F
221,221,1001,2023,0,,3.71,53.38,21,M
222,222,1001,2020,0,,1.81,79.57,22,M
223,223,1001,2019,0,,1.86,66.67,26,F
224,224,1001,2022,0,,1.66,89.14,26,F
225,225,1001,2021,0,,1.87,87.72,25,M
226,226,1001,2023,0,,3.43,64.47,25,M
227,227,1001,2020,0,,3.62,91.27,25,F
228,228,1001,2020,0,,3.09,78.23,26,F
229,229,1001,2019,1,4,2.39,53.04,22,F
230,230,1001,2021,1,3,1.63,60.03,25,F
231,231,1001,2023,1,2,2.69,35.36,23,F
232,232,1001,2022,0,,3.69,78.52,26,F
233,233,1001,2018,1,3,1.63,56.81,23,M
234,234,1001,2023,0,,2.64,55.88,26,F
235,235,1001,2019,0,,2.98,60.57,23,M
236,246,1002,2023,0,,1.75,60.52,24,M
237,247,1002,2018,0,,2.44,96.15,22,F
238,248,1002,2020,0,,3.25,76.08,21,M
239,249,1002,2020,0,,2.49,90.62,24,M
240,250,1002,2020,0,,3.1,95.47,21,F
241,252,1002,2023,1,3,1.81,52.77,25,F
242,253,1002,2021,1,1,2.67,63.32,24,F
243,254,1002,2021,0,,2.83,61.9,24,M
244,255,1002,2021,0,,3.95,91.61,26,F
245,256,1002,2023,1,3,2.07,34.26,22,F
246,257,1002,2022,0,,1.85,77,25,F
247,258,1002,2019,1,2,2.22,20.48,24,F
248,259,1002,2022,0,,1.6,73.13,24,M
249,260,1002,2023,1,1,2.21,24.75,24,F
250,261,1002,2022,1,2,1.63,35.72,23,M
251,262,1002,2020,0,,2.83,57.64,23,M
252,263,1002,2021,0,,3.74,89.45,22,M
253,264,1002,2020,0,,1.62,52.93,25,M
254,265,1002,2020,0,,3.89,97.41,24,F
255,266,1002,2020,0,,2.8,79.32,21,M
256,267,1002,2023,0,,1.56,97.79,26,M
257,268,1002,2018,0,,3.12,86.94,26,F
258,269,1002,2021,0,,1.56,95.58,25,F
259,270,1002,2021,0,,2.35,99.23,24,M
260,271,1002,2023,0,,3.48,57.68,26,F
261,272,1002,2022,1,4,1.92,34.48,25,M
262,273,1002,2022,0,,1.86,91.17,25,M
263,274,1002,2021,0,,2.14,75.3,22,F
264,275,1002,2022,1,2,1.9,31.12,24,M
265,276,1002,2022,0,,3.66,65.49,22,M
266,277,1002,2021,0,,3.24,50.87,24,M
267,278,1002,2022,1,4,2.14,72.66,26,F
268,279,1002,2023,0,,3.47,71.88,24,M
269,280,1002,2019,1,1,2.98,44.51,25,F
270,281,1002,2019,1,4,1.59,25.99,23,F
271,282,1002,2021,0,,3.23,64.24,25,F
272,283,1002,2019,0,,3.72,55.07,23,F
273,284,1002,2019,1,4,1.08,54,23,M
274,285,1002,2022,0,,3.9,92.91,25,M
275,286,1002,2022,0,,2.54,80.6,22,M
276,287,1002,2023,1,2,2.86,69.06,26,F
277,288,1002,2018,0,,3.5,53.88,21,M
278,289,1002,2023,0,,2.86,60.56,26,M
279,290,1002,2021,1,4,1.7,64.61,23,M
280,291,1002,2018,0,,3.92,50.48,25,M
281,292,1002,2021,1,4,2.45,72.21,22,F
282,293,1002,2023,0,,2.84,50.56,26,F
283,294,1002,2020,0,,2.13,71.09,26,F
284,295,1002,2023,1,1,1.58,32.1,26,M
285,296,1002,2023,0,,2.87,87.26,26,F
286,297,1002,2019,1,3,1.11,75.22,25,M
287,298,1002,2021,1,1,1.74,61.21,21,F
288,299,1002,2023,0,,2.76,80.21,25,F
289,300,1002,2020,1,4,1.01,76.22,25,M
290,301,1002,2018,0,,2.5,85.68,21,M
291,302,1002,2022,0,,3.72,61.32,24,F
292,303,1002,2018,1,2,2.61,75.34,25,M
293,304,1002,2021,1,3,1.95,72.45,25,F
294,305,1002,2020,0,,2.1,76.11,23,F
295,306,1002,2018,1,2,2.43,68.55,22,F
296,307,1002,2021,0,,2.96,64.03,24,M
297,308,1002,2018,0,,2.24,55.94,25,M
298,309,1002,2021,0,,1.82,87.91,25,M
299,310,1002,2022,1,1,2.55,64.07,22,M
300,311,1002,2020,1,4,2.59,23.34,23,F
301,312,1002,2019,0,,3.72,63.16,23,F
302,313,1002,2019,1,3,1.84,20.24,24,F
303,314,1002,2019,0,,2.93,76.47,26,M
304,315,1002,2023,1,2,2.8,57.1,21,F
305,316,1002,2022,1,1,2.65,65.6,22,F
306,317,1002,2022,0,,2.04,86.34,25,F
307,318,1002,2021,0,,3.04,75.52,25,M
308,319,1002,2019,0,,3.14,84.22,25,F
309,320,1002,2018,0,,3.98,79.65,22,M
310,321,1003,2021,0,,1.98,75.1,23,F
311,322,1003,2018,1,1,2.28,46.86,24,F
312,323,1003,2023,0,,1.66,57.51,21,F
313,324,1003,2020,0,,3.53,85.26,21,F
314,325,1003,2020,1,2,1.85,25.83,21,M
315,326,1003,2021,1,3,1.82,78.63,22,F
316,327,1003,2021,0,,2.09,53.3,22,F
317,328,1003,2020,0,,3.76,93.99,22,M
318,329,1003,2023,0,,2.37,86.21,26,M
319,330,1003,2022,0,,3.87,53.91,22,M
320,331,1003,2021,0,,1.78,85.77,22,F
321,332,1003,2020,0,,2.18,86.19,23,F
322,333,1003,2019,0,,2.78,62.72,24,M
323,334,1003,2021,1,3,1.51,34.92,24,F
324,335,1003,2023,0,,3.97,82.33,24,F
325,336,1003,2019,1,1,2.97,57.21,22,F
326,337,1003,2018,0,,3.1,51.28,26,F
327,338,1003,2021,1,3,1.99,36.58,22,F
328,339,1003,2018,0,,2.82,63.49,25,F
329,340,1003,2022,1,2,2.53,76.91,26,M
330,341,1003,2018,1,4,1.39,43.28,22,F
331,342,1003,2020,0,,1.86,74.31,22,M
332,343,1003,2022,0,,2.4,93.33,24,F
333,344,1003,2020,0,,2.99,74.39,26,M
334,345,1003,2021,0,,3.19,52.75,25,F
335,346,1003,2018,0,,2.21,62.66,25,M
336,347,1003,2018,0,,3.1,53.14,21,F
337,348,1003,2023,0,,1.69,64.26,23,F
338,349,1003,2022,0,,3.12,73.88,24,M
339,350,1003,2019,1,1,2.66,21.26,22,M
340,351,1003,2018,1,2,2.21,27.09,22,F
341,352,1003,2021,0,,1.81,70.95,22,M
342,353,1003,2021,0,,3.12,63.83,21,M
343,354,1003,2022,0,,1.54,85.67,23,F
344,355,1003,2022,1,3,1.71,76.44,24,F
345,356,1003,2019,0,,1.75,76.74,26,M
346,357,1003,2020,0,,3.05,95.81,25,M
347,358,1003,2023,0,,3.02,79.28,25,M
348,359,1003,2020,0,,3.96,73.95,26,M
349,360,1003,2021,0,,2.67,71.01,26,F
350,361,1003,2021,0,,3.67,74.04,21,M
351,362,1003,2021,0,,1.67,88.25,23,M
352,363,1003,2019,1,2,2.54,61.27,24,M
353,364,1003,2018,1,1,2.04,64.33,25,M
354,365,1003,2019,0,,3.64,89.3,21,F
355,366,1003,2018,0,,1.59,71.54,26,F
356,367,1003,2019,1,1,2.46,26.1,22,M
357,368,1003,2023,0,,2.1,86.21,22,F
358,369,1003,2020,0,,3.92,97.18,21,F
359,370,1003,2019,0,,1.64,65.39,23,F
360,371,1003,2019,0,,1.61,92.91,21,F
361,372,1003,2022,0,,1.83,82.28,22,F
362,373,1003,2018,1,4,1.57,54.12,22,M
363,374,1003,2018,0,,3.24,52.53,24,F
364,375,1003,2023,1,3,1.03,28.37,24,F
365,376,1003,2021,1,3,2.22,72.39,26,F
366,377,1003,2019,0,,3.48,69.81,26,M
367,378,1003,2019,0,,2.6,72.21,21,M
368,379,1003,2020,1,3,1.66,71.13,26,M
369,380,1003,2019,1,4,2.82,72.4,21,F
370,381,1003,2018,0,,2.88,87.71,24,F
371,382,1003,2022,0,,1.88,98.39,22,M
372,383,1003,2020,0,,3.21,75.85,22,M
373,384,1003,2021,1,1,2.95,23.81,26,F
374,385,1003,2022,0,,1.68,81.08,22,F
375,386,1003,2023,0,,2.45,97.65,21,F
376,387,1003,2019,0,,1.89,78.61,21,F
377,388,1003,2020,1,4,1.14,41.6,21,M
378,389,1003,2018,0,,1.75,71.49,21,F
379,390,1003,2018,0,,1.82,56.34,24,F
380,391,1003,2022,0,,2.05,59.22,21,M
381,392,1003,2021,0,,2.86,91.03,22,M
382,393,1003,2022,0,,3.4,81.88,22,M
383,394,1003,2022,1,2,1.29,47.31,24,M
384,395,1003,2022,0,,2.62,93.8,22,M
385,396,1003,2020,0,,3.15,78.96,25,M
386,397,1003,2023,1,3,2.58,65.54,25,M
387,398,1003,2022,0,,2,88.7,22,F
388,399,1003,2021,0,,3.77,97.93,21,M
389,400,1003,2021,0,,2.31,62.78,26,F
390,401,1003,2023,1,2,1.97,37.92,23,F
391,402,1003,2019,1,3,2.31,23.79,21,F
392,403,1003,2023,0,,3.27,54.54,23,F
393,404,1003,2021,0,,2.99,76.05,23,F
394,405,1003,2019,1,4,1.5,68.2,23,M
395,406,1003,2022,0,,1.82,63.44,25,F
396,407,1003,2022,1,2,1.45,60.7,23,M
397,408,1003,2020,0,,1.69,93.19,24,F
398,409,1003,2020,0,,2.41,74.41,23,M
399,410,1004,2021,1,1,1.44,50.48,22,M
400,411,1004,2018,0,,2.95,61.94,22,M
