student_id,fact_id,institution_id,year,gpa,attendance_rate,age,gender,dropout_status
1,100,1004,2020,3.56,0.91,18,F,1
2,101,1001,2021,2.99,0.97,20,F,0
3,102,1002,2021,1.61,0.97,18,M,0
4,103,1002,2022,1.89,0.62,23,M,0
5,104,1001,2023,2.63,0.65,22,F,0
6,105,1001,2020,1.84,0.59,20,F,0
7,106,1001,2020,3.56,0.63,20,F,1
8,107,1003,2023,2.81,0.64,19,F,0
9,108,1004,2022,1.89,1.0,25,M,0
10,109,1002,2022,3.72,0.71,21,M,0
11,110,1004,2021,2.83,0.74,21,F,0
12,111,1004,2021,2.58,0.99,22,M,0
13,112,1001,2022,1.98,0.82,23,M,1
14,113,1003,2021,1.51,0.92,21,M,0
15,114,1001,2022,3.41,0.88,24,F,0
16,115,1004,2023,1.83,0.55,21,F,0
17,116,1004,2022,2.97,0.98,25,F,0
18,117,1002,2023,3.7,0.55,24,M,0
19,118,1003,2022,3.37,0.83,21,F,0
20,119,1001,2022,2.27,0.97,25,F,0
21,120,1002,2023,3.18,0.63,23,M,1
22,121,1003,2023,3.17,0.57,22,F,1
23,122,1002,2023,2.74,0.75,23,F,1
24,123,1002,2022,1.5,0.96,25,M,0
25,124,1004,2023,3.7,0.51,19,F,0
26,125,1002,2020,1.61,0.53,19,F,0
27,126,1003,2020,2.78,0.53,25,F,0
28,127,1004,2021,2.85,0.67,22,M,0
29,128,1002,2022,2.71,0.96,19,F,0
30,129,1002,2021,3.37,0.75,22,M,1
31,130,1001,2023,2.99,0.87,24,F,0
32,131,1004,2020,3.46,0.89,23,F,0
33,132,1002,2022,2.72,0.86,20,M,0
34,133,1003,2021,3.59,0.67,19,M,0
35,134,1002,2021,3.15,0.56,23,M,0
36,135,1001,2020,3.14,0.78,20,F,0
37,136,1001,2022,2.02,0.94,21,F,1
38,137,1001,2023,1.9,0.65,18,F,0
39,138,1001,2021,2.5,0.88,18,M,0
40,139,1003,2022,3.34,0.76,24,F,0
41,140,1003,2020,3.68,0.93,22,M,0
42,141,1003,2021,2.56,0.61,19,M,0
43,142,1003,2021,1.56,0.97,21,F,0
44,143,1001,2020,1.59,0.68,22,M,0
45,144,1004,2023,2.07,0.63,21,M,1
46,145,1002,2022,1.8,0.9,24,M,0
47,146,1001,2022,1.82,0.76,25,M,0
48,147,1001,2022,3.01,0.5,24,F,0
49,148,1004,2022,1.91,0.51,25,F,0
50,149,1004,2021,3.42,0.72,18,M,0
51,150,1003,2020,1.85,0.85,19,M,0
52,151,1001,2020,2.06,0.68,21,M,0
53,152,1003,2023,3.87,0.99,25,M,1
54,153,1002,2020,1.9,0.85,24,F,0
55,154,1001,2021,3.8,0.65,19,M,1
56,155,1004,2022,2.1,0.94,21,F,1
57,156,1004,2022,2.79,0.93,23,M,0
58,157,1002,2020,2.25,0.78,23,M,0
59,158,1003,2022,3.54,0.74,21,M,0
60,159,1004,2023,1.63,0.56,18,F,0
61,160,1004,2022,3.28,0.8,23,M,0
62,161,1004,2023,1.61,0.66,25,M,1
63,162,1003,2020,3.14,0.94,23,M,0
64,163,1002,2023,3.96,0.67,25,M,1
65,164,1003,2023,2.44,0.55,18,M,0
66,165,1004,2021,2.12,0.66,23,F,1
67,166,1002,2022,1.78,0.5,20,F,0
68,167,1003,2020,3.29,0.81,22,F,0
69,168,1003,2021,2.52,0.72,19,M,1
70,169,1002,2021,1.61,0.94,21,M,0
71,170,1004,2023,2.08,0.72,18,M,0
72,171,1002,2023,3.55,0.57,21,M,0
73,172,1004,2020,2.52,0.71,25,M,0
74,173,1001,2023,3.74,0.84,24,F,0
75,174,1001,2020,1.86,0.78,20,F,0
76,175,1001,2020,3.24,0.79,25,M,1
77,176,1003,2023,3.09,0.82,25,F,0
78,177,1002,2022,1.56,0.58,18,F,0
79,178,1003,2023,1.7,0.86,19,F,0
80,179,1001,2020,1.64,0.85,19,F,0
81,180,1001,2023,3.02,0.92,21,M,0
82,181,1004,2020,2.76,0.6,21,M,0
83,182,1003,2020,1.96,0.6,21,F,0
84,183,1002,2020,3.23,0.63,23,M,1
85,184,1003,2021,1.55,0.74,24,F,1
86,185,1002,2023,3.62,0.99,20,F,0
87,186,1001,2021,3.19,0.83,25,M,0
88,187,1003,2023,3.66,0.54,24,F,0
89,188,1001,2023,2.41,0.54,23,M,0
90,189,1001,2023,3.97,0.86,18,M,1
91,190,1004,2023,3.32,0.72,24,F,1
92,191,1002,2021,1.59,0.55,21,F,0
93,192,1002,2020,2.33,0.9,23,M,0
94,193,1003,2022,2.15,0.67,21,M,0
95,194,1004,2023,2.4,0.55,19,M,0
96,195,1002,2021,3.39,0.83,19,F,0
97,196,1004,2023,3.53,0.98,20,M,1
98,197,1002,2021,2.51,0.88,23,M,0
99,198,1002,2021,3.63,0.75,24,M,0
100,199,1003,2022,1.89,0.92,24,F,0
